vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,27-01-2019 22:59,27-01-2019 23:22,1,11.3,1,N,186,92,1,32.5,0.5,0.5,7.9,5.76,0.3,47.46,0
1,31-01-2019 07:17,31-01-2019 07:20,1,0.5,1,N,68,246,1,4.5,0,0.5,0.53,0,0.3,5.83,0
1,11-01-2019 17:03,11-01-2019 17:15,1,1.7,1,N,140,43,1,9.5,1,0.5,2.26,0,0.3,13.56,
1,04-01-2019 00:39,04-01-2019 00:47,1,1.4,1,N,100,162,2,7,0.5,0.5,0,0,0.3,8.3,
1,02-01-2019 07:32,02-01-2019 07:52,1,3.9,1,N,167,75,1,16,0,0.5,0,0,0.3,16.8,
1,14-01-2019 09:48,14-01-2019 10:24,1,2.1,1,N,229,234,1,20.5,0,0.5,4.25,0,0.3,25.55,
1,20-01-2019 14:43,20-01-2019 14:52,1,1.5,1,N,79,234,1,7.5,0,0.5,2.05,0,0.3,10.35,
1,30-01-2019 11:52,30-01-2019 12:02,1,1.3,1,N,186,113,2,8,0,0.5,0,0,0.3,8.8,0
1,07-01-2019 06:25,07-01-2019 06:27,1,0.6,1,N,262,140,1,4,0,0.5,0.95,0,0.3,5.75,
1,07-01-2019 08:45,07-01-2019 08:56,1,1.1,1,N,65,97,2,8.5,0,0.5,0,0,0.3,9.3,
1,22-01-2019 16:39,22-01-2019 16:50,1,2.1,1,N,170,211,1,10,1,0.5,2.95,0,0.3,14.75,0
1,22-01-2019 19:13,22-01-2019 19:36,1,7.5,1,N,140,97,1,24,1,0.5,3.87,0,0.3,29.67,0
1,02-01-2019 20:56,02-01-2019 21:17,1,4.6,1,N,249,236,1,17.5,0.5,0.5,3.75,0,0.3,22.55,
1,01-01-2019 05:07,01-01-2019 05:19,1,3.1,1,N,264,264,1,11.5,0.5,0.5,1,0,0.3,13.8,
1,15-01-2019 11:14,15-01-2019 11:25,1,1.5,1,N,162,246,1,9,0,0.5,1.95,0,0.3,11.75,
1,23-01-2019 21:45,23-01-2019 21:48,1,1.1,1,N,141,75,1,5,0.5,0.5,1.25,0,0.3,7.55,0
1,14-01-2019 18:37,14-01-2019 18:41,1,0.4,1,N,237,237,2,4.5,1,0.5,0,0,0.3,6.3,
1,07-01-2019 11:05,07-01-2019 11:16,1,2.2,1,N,161,143,1,10.5,0,0.5,2.26,0,0.3,13.56,
1,24-01-2019 13:19,24-01-2019 13:32,1,1.2,1,N,161,237,1,9,0,0.5,1.95,0,0.3,11.75,0
1,23-01-2019 23:39,24-01-2019 00:05,1,5.1,1,N,230,7,1,21,0.5,0.5,4.45,0,0.3,26.75,0
1,11-01-2019 16:15,11-01-2019 16:52,1,11.6,5,N,170,130,1,75,0,0,8,5.76,0.3,89.06,
1,25-01-2019 20:04,25-01-2019 20:08,1,0.5,1,N,231,231,1,4.5,1,0.5,1.25,0,0.3,7.55,0
1,11-01-2019 10:54,11-01-2019 10:55,1,2,1,N,141,141,2,2.5,0,0.5,0,0,0.3,3.3,
1,28-01-2019 13:46,28-01-2019 14:56,1,18,2,N,132,13,1,52,0,0.5,10.55,0,0.3,63.35,0
1,15-01-2019 08:35,15-01-2019 08:38,1,0,1,N,170,233,2,3.5,0,0.5,0,0,0.3,4.3,
1,23-01-2019 14:17,23-01-2019 14:25,1,1,1,N,140,236,1,6.5,0,0.5,1,0,0.3,8.3,0
1,17-01-2019 06:43,17-01-2019 06:46,1,0.5,1,N,141,162,1,4,0,0.5,1,0,0.3,5.8,
1,12-01-2019 21:03,12-01-2019 21:25,1,4.9,1,N,79,75,2,18,0.5,0.5,0,0,0.3,19.3,
1,21-01-2019 19:22,21-01-2019 19:37,1,2.9,1,N,48,224,1,12.5,0,0.5,5,0,0.3,18.3,0
1,06-01-2019 14:48,06-01-2019 14:59,1,1.8,1,N,264,264,1,9.5,0,0.5,2.05,0,0.3,12.35,
1,17-01-2019 19:28,17-01-2019 19:34,1,0.9,1,N,264,264,1,6,1,0.5,1.55,0,0.3,9.35,
1,15-01-2019 23:53,16-01-2019 00:01,1,1.6,1,N,264,264,2,8,0.5,0.5,0,0,0.3,9.3,
1,21-01-2019 10:59,21-01-2019 11:09,1,2.6,1,N,75,239,1,10,0,0.5,2.7,0,0.3,13.5,0
1,22-01-2019 09:10,22-01-2019 09:27,1,1.6,1,N,68,161,1,11.5,0,0.5,2.45,0,0.3,14.75,0
1,14-01-2019 14:06,14-01-2019 14:17,1,1,2,N,170,234,1,52,0,0.5,14.6,5.76,0.3,73.16,
1,15-01-2019 15:59,15-01-2019 16:10,1,1.2,1,N,142,237,1,8.5,0,0.5,1.85,0,0.3,11.15,
1,09-01-2019 22:56,09-01-2019 23:08,1,6.6,1,N,263,232,2,19.5,0.5,0.5,0,0,0.3,20.8,
1,30-01-2019 14:34,30-01-2019 14:45,1,1.2,1,N,148,114,1,9,0,0.5,1.95,0,0.3,11.75,0
1,28-01-2019 14:11,28-01-2019 14:31,1,2,1,N,100,163,2,13,0,0.5,0,0,0.3,13.8,0
1,31-01-2019 14:49,31-01-2019 15:16,1,3.4,1,N,186,264,1,18,0,0.5,5.6,0,0.3,24.4,0
1,06-01-2019 20:33,06-01-2019 20:45,1,3.2,1,N,138,7,1,12.5,0.5,0.5,2.75,0,0.3,16.55,
1,28-01-2019 21:32,28-01-2019 21:44,1,2.3,1,N,100,79,1,10,0.5,0.5,2.25,0,0.3,13.55,0
1,10-01-2019 16:26,10-01-2019 16:31,1,1,1,N,170,79,2,6,1,0.5,0,0,0.3,7.8,
1,26-01-2019 06:24,26-01-2019 07:11,1,7.4,1,N,146,224,3,33.5,0,0.5,0,0,0.3,34.3,0
1,22-01-2019 09:00,22-01-2019 09:11,1,0.8,1,N,237,161,2,8,0,0.5,0,0,0.3,8.8,0
1,12-01-2019 17:54,12-01-2019 18:03,1,1.3,1,N,107,186,2,8,0,0.5,0,0,0.3,8.8,
1,12-01-2019 13:00,12-01-2019 13:06,1,0.8,1,N,234,170,1,5.5,0,0.5,3,0,0.3,9.3,
1,29-01-2019 05:19,29-01-2019 05:29,1,6.4,1,N,132,134,1,19,0.5,0.5,4.05,0,0.3,24.35,0
1,01-01-2019 17:56,01-01-2019 18:32,1,11.5,1,N,132,62,2,36,0,0.5,0,0,0.3,36.8,
1,02-01-2019 08:30,02-01-2019 08:42,1,2,1,N,162,140,1,10,0,0.5,2.15,0,0.3,12.95,
1,14-01-2019 05:21,14-01-2019 05:42,1,11.2,1,N,48,138,1,32,0.5,0.5,7.8,5.76,0.3,46.86,
1,13-01-2019 10:30,13-01-2019 10:38,1,2,1,N,237,164,1,8.5,0,0.5,1.4,0,0.3,10.7,
1,07-01-2019 21:29,07-01-2019 21:45,1,3.9,1,N,100,238,2,14.5,0.5,0.5,0,0,0.3,15.8,
1,14-01-2019 09:43,14-01-2019 10:01,1,3.4,1,N,263,233,2,13,0,0.5,0,0,0.3,13.8,
1,25-01-2019 20:05,25-01-2019 20:21,1,2.1,1,N,264,264,1,11.5,0.5,0.5,2.55,0,0.3,15.35,0
1,04-01-2019 19:37,04-01-2019 19:46,1,0.8,1,N,264,264,2,7,1,0.5,0,0,0.3,8.8,
1,11-01-2019 12:15,11-01-2019 12:26,1,1.1,1,N,163,161,2,8.5,0,0.5,0,0,0.3,9.3,
1,09-01-2019 16:13,09-01-2019 16:33,1,1.6,1,N,161,236,2,13.5,1,0.5,0,0,0.3,15.3,
1,02-01-2019 10:15,02-01-2019 10:22,1,1.3,1,N,125,68,1,6.5,0,0.5,1.8,0,0.3,9.1,
1,22-01-2019 05:50,22-01-2019 05:53,1,1,1,N,162,107,1,5.5,0.5,0.5,1.36,0,0.3,8.16,0
1,10-01-2019 15:15,10-01-2019 15:47,1,3.9,1,N,141,166,1,21,0,0.5,5.45,0,0.3,27.25,
1,25-01-2019 17:06,25-01-2019 17:25,1,5.2,1,N,87,170,1,19.5,1,0.5,6.35,0,0.3,27.65,0
1,11-01-2019 14:08,11-01-2019 14:10,1,0.4,1,N,239,239,2,4,0,0.5,0,0,0.3,4.8,
1,01-01-2019 00:00,01-01-2019 00:31,1,18,2,N,132,140,1,52,0,0.5,7,0,0.3,59.8,
1,29-01-2019 08:17,29-01-2019 08:34,1,2.5,1,N,239,229,1,12.5,0,0.5,2.65,0,0.3,15.95,0
1,25-01-2019 22:30,25-01-2019 22:37,1,1,1,N,230,142,4,6.5,0.5,0.5,0,0,0.3,7.8,0
1,15-01-2019 20:45,15-01-2019 20:50,1,1.5,1,N,229,264,1,6.5,0.5,0.5,1.55,0,0.3,9.35,
1,15-01-2019 10:32,15-01-2019 10:33,1,1.3,1,N,162,162,3,2.5,0,0.5,0,0,0.3,3.3,
1,20-01-2019 13:42,20-01-2019 13:52,1,1.5,1,N,230,246,2,8.5,0,0.5,0,0,0.3,9.3,
1,07-01-2019 16:47,07-01-2019 16:55,1,1.4,1,N,238,41,1,7,1,0.5,1.75,0,0.3,10.55,
1,31-01-2019 19:40,31-01-2019 19:46,1,0.7,1,N,237,163,1,5.5,1,0.5,1.45,0,0.3,8.75,0
1,05-01-2019 11:42,05-01-2019 11:56,1,2.5,1,N,164,43,2,11.5,0,0.5,0,0,0.3,12.3,
1,30-01-2019 08:20,30-01-2019 08:35,1,1.8,1,N,231,79,1,11,0,0.5,2.36,0,0.3,14.16,0
1,02-01-2019 09:40,02-01-2019 09:49,1,0.7,1,N,162,229,2,7,0,0.5,0,0,0.3,7.8,
1,11-01-2019 08:57,11-01-2019 09:03,1,0.7,1,N,162,237,1,5.5,0,0.5,1.55,0,0.3,7.85,
1,17-01-2019 13:15,17-01-2019 13:22,1,1,1,N,79,114,3,6,0,0.5,0,0,0.3,6.8,
1,21-01-2019 18:50,21-01-2019 18:56,1,1.9,1,N,161,236,1,7.5,0,0.5,1.65,0,0.3,9.95,0
1,12-01-2019 16:02,12-01-2019 16:09,1,2.3,1,N,137,232,2,9,0,0.5,0,0,0.3,9.8,
1,29-01-2019 07:27,29-01-2019 07:45,1,2,1,N,107,230,1,12.5,0,0.5,1,0,0.3,14.3,0
1,19-01-2019 16:14,19-01-2019 16:20,1,0.8,1,N,100,50,1,5.5,0,0.5,1.25,0,0.3,7.55,
1,15-01-2019 18:42,15-01-2019 18:47,1,0.7,1,N,141,263,1,5,1,0.5,1.02,0,0.3,7.82,
1,29-01-2019 11:58,29-01-2019 12:24,1,1.7,1,N,186,142,2,16.5,0,0.5,0,0,0.3,17.3,0
1,20-01-2019 17:44,20-01-2019 18:03,1,2.3,1,N,236,230,2,13.5,0,0.5,0,0,0.3,14.3,
1,06-01-2019 14:47,06-01-2019 14:56,1,1.5,1,N,151,41,2,8,0,0.5,0,0,0.3,8.8,
1,02-01-2019 08:01,02-01-2019 08:08,1,0.8,1,N,264,264,1,6,0,0.5,0.34,0,0.3,7.14,
1,09-01-2019 09:30,09-01-2019 09:36,1,0.8,1,N,48,230,1,5.5,0,0.5,1.55,0,0.3,7.85,
1,28-01-2019 17:42,28-01-2019 17:59,1,2.8,1,N,163,151,1,12.5,1,0.5,2,0,0.3,16.3,0
1,27-01-2019 11:32,27-01-2019 11:43,1,2,1,N,24,142,4,9.5,0,0.5,0,0,0.3,10.3,0
1,28-01-2019 18:20,28-01-2019 18:43,1,8.1,1,N,138,116,1,26,1,0.5,6.7,5.76,0.3,40.26,0
1,06-01-2019 11:42,06-01-2019 11:52,1,2.1,1,N,161,50,1,9.5,0,0.5,0,0,0.3,10.3,
1,31-01-2019 06:19,31-01-2019 06:37,1,4.4,1,N,264,264,2,16.5,0,0.5,0,0,0.3,17.3,0
1,31-01-2019 20:41,31-01-2019 20:48,1,2.1,1,N,233,262,2,8,0.5,0.5,0,0,0.3,9.3,0
1,20-01-2019 21:58,20-01-2019 22:08,1,2,1,N,142,229,1,9,0.5,0.5,2.55,0,0.3,12.85,
1,11-01-2019 07:56,11-01-2019 08:00,1,0.8,1,N,100,161,1,4.5,0,0.5,1.05,0,0.3,6.35,
1,14-01-2019 18:12,14-01-2019 18:33,1,2.6,1,N,264,264,2,15,1,0.5,0,0,0.3,16.8,
1,28-01-2019 07:22,28-01-2019 07:30,1,1.7,1,N,186,161,2,8,0,0.5,0,0,0.3,8.8,0
1,11-01-2019 16:20,11-01-2019 16:28,1,0.6,1,N,164,234,1,7,1,0.5,1.75,0,0.3,10.55,
1,07-01-2019 18:25,07-01-2019 18:38,1,1.7,1,N,237,262,1,9,1,0.5,2.15,0,0.3,12.95,
1,14-01-2019 09:04,14-01-2019 09:06,1,0.5,1,N,162,163,2,4,0,0.5,0,0,0.3,4.8,
1,22-01-2019 15:05,22-01-2019 15:15,1,1.1,1,N,261,231,2,8,0,0.5,0,0,0.3,8.8,0
1,14-01-2019 08:47,14-01-2019 09:13,1,2.5,1,N,237,107,2,16.5,0,0.5,0,0,0.3,17.3,
1,21-01-2019 13:38,21-01-2019 13:42,1,0.6,1,N,237,237,2,5,0,0.5,0,0,0.3,5.8,0
1,25-01-2019 19:24,25-01-2019 19:35,1,1.4,1,N,230,143,1,8.5,1,0.5,2.55,0,0.3,12.85,0
1,11-01-2019 14:31,11-01-2019 14:51,1,2,1,N,264,264,1,14,0,0.5,2.95,0,0.3,17.75,
2,05-01-2019 06:36,05-01-2019 06:50,1,3.72,1,N,68,236,1,14,0,0.5,1,0,0.3,15.8,
1,23-01-2019 15:22,23-01-2019 15:32,1,3.3,1,N,12,232,2,12.5,0,0.5,0,0,0.3,13.3,0
1,05-01-2019 12:07,05-01-2019 12:14,1,1,1,N,25,49,1,6,0,0.5,1.35,0,0.3,8.15,
2,22-01-2019 18:26,22-01-2019 18:35,1,1.69,1,N,142,238,1,8,1,0.5,1.2,0,0.3,11,0
2,20-01-2019 23:03,20-01-2019 23:21,1,5.28,1,N,114,239,1,18,0.5,0.5,3.86,0,0.3,23.16,
2,23-01-2019 00:17,23-01-2019 00:32,1,2.75,1,N,161,79,1,12.5,0.5,0.5,2.76,0,0.3,16.56,0
1,28-01-2019 12:58,28-01-2019 13:47,1,12.1,1,N,236,138,1,43,0,0.5,10.9,0,0.3,54.7,0
2,28-01-2019 21:28,28-01-2019 21:46,1,4.73,1,N,141,129,1,17,0.5,0.5,5.49,0,0.3,23.79,0
2,19-01-2019 09:30,19-01-2019 09:35,1,0.86,1,N,74,74,1,5,0,0.5,0,0,0.3,5.8,
1,04-01-2019 23:55,05-01-2019 00:06,1,3,1,N,237,41,1,11.5,0.5,0.5,2.55,0,0.3,15.35,
1,04-01-2019 07:29,04-01-2019 07:36,1,1.7,1,N,264,264,1,8,0,0.5,1.76,0,0.3,10.56,
1,11-01-2019 13:00,11-01-2019 13:00,1,0,1,N,79,79,3,2.5,0,0.5,0,0,0.3,3.3,
1,17-01-2019 18:39,17-01-2019 18:43,1,0.8,1,N,48,50,1,5.5,1,0.5,1.45,0,0.3,8.75,
2,11-01-2019 20:04,11-01-2019 20:26,1,11.3,1,N,100,220,2,33,0.5,0.5,0,2.64,0.3,36.94,
1,02-01-2019 02:42,02-01-2019 02:46,1,0.7,1,N,230,246,1,5,0.5,0.5,0,0,0.3,6.3,
1,17-01-2019 20:05,17-01-2019 20:10,1,0.6,1,N,234,170,1,5,0.5,0.5,0.63,0,0.3,6.93,
1,17-01-2019 15:11,17-01-2019 15:27,1,1.6,1,N,107,186,1,11,0,0.5,2.35,0,0.3,14.15,
2,14-01-2019 14:56,14-01-2019 15:05,1,1.36,1,N,161,164,1,7.5,0,0.5,1.66,0,0.3,9.96,
1,20-01-2019 16:49,20-01-2019 16:55,1,1.3,1,N,164,43,1,6.5,0,0.5,2,0,0.3,9.3,
2,16-01-2019 15:52,16-01-2019 15:58,1,0.95,1,N,142,239,2,6,0,0.5,0,0,0.3,6.8,
1,31-01-2019 07:56,31-01-2019 08:00,1,0.4,1,N,264,264,1,4.5,0,0.5,1.06,0,0.3,6.36,0
4,22-01-2019 08:35,22-01-2019 09:05,1,9.39,1,N,113,138,1,30.5,0,0.5,7.41,5.76,0.3,44.47,
2,12-01-2019 05:55,12-01-2019 06:00,1,0.59,1,N,48,68,1,5,0.5,0.5,1.26,0,0.3,7.56,
2,23-01-2019 18:33,23-01-2019 18:56,1,8.71,1,N,138,107,1,26.5,1,0.5,6.81,5.76,0.3,40.87,0
2,23-01-2019 20:27,23-01-2019 20:50,1,3.85,1,N,113,140,1,16.5,0.5,0.5,1.2,0,0.3,19,0
2,18-01-2019 14:03,18-01-2019 14:17,1,1.95,1,N,186,114,2,10.5,0,0.5,0,0,0.3,11.3,
2,13-01-2019 12:53,13-01-2019 13:20,1,19.7,2,N,263,132,1,52,0,0.5,11.71,5.76,0.3,70.27,
1,09-01-2019 02:15,09-01-2019 02:22,1,1.7,1,N,68,230,1,7.5,0.5,0.5,1.75,0,0.3,10.55,
2,20-01-2019 08:03,20-01-2019 08:08,1,0.7,1,N,246,246,2,5,0,0.5,0,0,0.3,5.8,
2,21-01-2019 18:10,21-01-2019 18:12,1,0.45,1,N,231,231,1,4,0,0.5,1.2,0,0.3,6,0
1,13-01-2019 20:58,13-01-2019 21:19,1,3.9,1,N,125,49,1,16.5,0.5,0.5,4.45,0,0.3,22.25,
2,29-01-2019 22:40,29-01-2019 22:51,1,2.45,1,N,161,239,1,10,0.5,0.5,2.26,0,0.3,13.56,0
2,15-01-2019 08:06,15-01-2019 08:24,1,1.63,1,N,151,236,1,12,0,0.5,3,0,0.3,15.8,
2,07-01-2019 18:15,07-01-2019 18:24,1,1.05,1,N,140,236,1,7.5,1,0.5,2.32,0,0.3,11.62,
2,10-01-2019 22:32,10-01-2019 22:37,1,1.04,1,N,114,231,1,5.5,0.5,0.5,1,0,0.3,7.8,
2,08-01-2019 17:15,08-01-2019 17:59,1,12.26,1,N,138,77,2,40,1,0.5,0,0,0.3,41.8,
2,20-01-2019 19:26,20-01-2019 19:31,1,0.9,1,N,114,113,2,5.5,0,0.5,0,0,0.3,6.3,
2,09-01-2019 07:51,09-01-2019 08:00,1,2.16,1,N,170,211,1,9,0,0.5,1.96,0,0.3,11.76,
1,03-01-2019 18:30,03-01-2019 18:38,1,1.2,1,N,237,263,1,7,1,0.5,0,0,0.3,8.8,
2,23-01-2019 21:45,23-01-2019 21:52,1,1.11,1,N,48,161,2,6.5,0.5,0.5,0,0,0.3,7.8,0
1,09-01-2019 16:02,09-01-2019 16:16,1,0.8,1,N,264,264,2,9,1,0.5,0,0,0.3,10.8,
2,25-01-2019 10:59,25-01-2019 11:44,1,24.75,1,N,132,265,2,68.5,0,0.5,0,5.76,0.3,75.06,0
2,05-01-2019 18:38,05-01-2019 18:54,1,1.88,1,N,48,137,1,11.5,0,0.5,2,0,0.3,14.3,
2,07-01-2019 14:59,07-01-2019 15:10,1,1.47,1,N,234,68,1,8.5,0,0.5,1.86,0,0.3,11.16,
2,18-01-2019 11:42,18-01-2019 11:57,1,1.85,1,N,249,161,1,10.5,0,0.5,2.26,0,0.3,13.56,
1,29-01-2019 20:19,29-01-2019 20:36,1,3.7,1,N,234,263,2,14.5,0.5,0.5,0,0,0.3,15.8,0
1,21-01-2019 13:20,21-01-2019 13:26,1,0.8,1,N,141,141,1,5.5,0,0.5,1.25,0,0.3,7.55,0
2,08-01-2019 20:22,08-01-2019 20:26,1,0.46,1,N,141,236,1,4.5,0.5,0.5,1.74,0,0.3,7.54,
2,28-01-2019 19:51,28-01-2019 19:58,1,1.29,1,N,107,68,1,7,1,0.5,2.2,0,0.3,11,0
2,30-01-2019 21:46,30-01-2019 22:00,1,2.22,1,N,237,68,1,10.5,0.5,0.5,1.18,0,0.3,12.98,0
1,01-01-2019 19:13,01-01-2019 19:15,1,0.4,1,N,238,151,1,3.5,0,0.5,0.86,0,0.3,5.16,
2,25-01-2019 16:10,25-01-2019 16:19,1,1.02,1,N,233,161,1,7,1,0.5,2,0,0.3,10.8,0
1,06-01-2019 01:09,06-01-2019 01:23,1,2.5,1,N,87,79,1,11.5,0.5,0.5,2.55,0,0.3,15.35,
2,19-01-2019 09:28,19-01-2019 09:38,1,2.43,1,N,263,74,2,10,0,0.5,0,0,0.3,10.8,
2,10-01-2019 13:10,10-01-2019 13:40,1,17.69,2,N,132,107,1,52,0,0.5,11.71,5.76,0.3,70.27,
1,23-01-2019 15:33,23-01-2019 15:44,1,1.6,1,N,237,239,1,9,0,0.5,1.95,0,0.3,11.75,0
1,30-01-2019 18:03,30-01-2019 18:21,1,1.7,1,N,230,229,1,12.5,1,0.5,3.55,0,0.3,17.85,0
1,23-01-2019 21:55,23-01-2019 22:00,1,0.5,1,N,107,234,2,5,0.5,0.5,0,0,0.3,6.3,0
2,29-01-2019 17:04,29-01-2019 17:11,1,0.85,1,N,170,163,1,6.5,1,0.5,1.66,0,0.3,9.96,0
1,11-01-2019 12:53,11-01-2019 13:11,1,2.3,1,N,229,236,1,12.5,0,0.5,2.39,0,0.3,15.69,
1,24-01-2019 14:02,24-01-2019 14:06,1,0.4,1,N,231,231,1,4,0,0.5,0.95,0,0.3,5.75,0
2,13-01-2019 13:58,13-01-2019 14:00,1,0.42,1,N,164,161,2,3.5,0,0.5,0,0,0.3,4.3,
2,02-01-2019 10:26,02-01-2019 10:29,1,1.07,1,N,170,229,2,5,0,0.5,0,0,0.3,5.8,
2,23-01-2019 21:02,23-01-2019 21:14,1,1.76,1,N,163,234,1,9,0.5,0.5,1,0,0.3,11.3,0
1,06-01-2019 12:04,06-01-2019 12:21,1,3.5,1,N,261,246,1,15,0,0.5,3.5,0,0.3,19.3,
2,20-01-2019 23:27,20-01-2019 23:40,1,3.65,1,N,41,243,2,13.5,0.5,0.5,0,0,0.3,14.8,
2,07-01-2019 17:56,07-01-2019 18:24,1,9.34,1,N,138,148,2,30.5,1,0.5,0,0,0.3,32.3,
2,29-01-2019 18:37,29-01-2019 18:46,1,0.9,1,N,170,137,1,7,1,0.5,1,0,0.3,9.8,0
2,24-01-2019 08:20,24-01-2019 08:44,1,2.04,1,N,141,161,2,14.5,0,0.5,0,0,0.3,15.3,0
1,29-01-2019 07:29,29-01-2019 07:38,1,1.6,1,N,42,41,1,8.5,0,0.5,1.85,0,0.3,11.15,0
2,15-01-2019 17:26,15-01-2019 17:32,1,0.76,1,N,163,162,1,6,1,0.5,2.34,0,0.3,10.14,
1,02-01-2019 18:22,02-01-2019 18:30,1,0.8,1,N,161,164,1,7,1,0.5,1.75,0,0.3,10.55,
2,22-01-2019 20:11,22-01-2019 20:19,1,1.15,1,N,186,246,1,7,0.5,0.5,1.5,0,0.3,9.8,0
2,25-01-2019 17:57,25-01-2019 18:11,1,3.17,1,N,50,231,1,12.5,1,0.5,2.86,0,0.3,17.16,0
1,05-01-2019 16:34,05-01-2019 16:51,1,3,1,N,170,263,1,13.5,0,0.5,1.43,0,0.3,15.73,
1,07-01-2019 16:16,07-01-2019 16:20,1,0.5,1,N,236,262,1,4.5,1,0.5,1.26,0,0.3,7.56,
